Month,Day,Year,Home Team,Away Team,Home Score,Away Score,Overtime Periods,Game Type
10,19,2021,Bucks,Nets,127,104,0,RS
10,19,2021,Lakers,Warriors,114,121,0,RS
10,20,2021,Knicks,Celtics,138,134,2,RS
10,20,2021,Grizzlies,Cavaliers,132,121,0,RS
10,20,2021,Hornets,Pacers,123,122,0,RS
10,20,2021,Pistons,Bulls,88,94,0,RS
10,20,2021,Raptors,Wizards,83,98,0,RS
10,20,2021,Timberwolves,Rockets,124,106,0,RS
10,20,2021,Pelicans,76ers,97,117,0,RS
10,20,2021,Spurs,Magic,123,97,0,RS
10,20,2021,Jazz,Thunder,107,86,0,RS
10,20,2021,Suns,Nuggets,98,110,0,RS
10,20,2021,Trail Blazers,Kings,121,124,0,RS
10,21,2021,Hawks,Mavericks,113,87,0,RS
10,21,2021,Heat,Bucks,137,95,0,RS
10,21,2021,Warriors,Clippers,115,113,0,RS
10,22,2021,Celtics,Raptors,83,115,0,RS
10,22,2021,Cavaliers,Hornets,112,123,0,RS
10,22,2021,Magic,Knicks,96,121,0,RS
10,22,2021,Wizards,Pacers,135,134,1,RS
10,22,2021,76ers,Nets,109,114,0,RS
10,22,2021,Bulls,Pelicans,128,112,0,RS
10,22,2021,Rockets,Thunder,124,91,0,RS
10,22,2021,Nuggets,Spurs,102,96,0,RS
10,22,2021,Lakers,Suns,105,115,0,RS
10,22,2021,Kings,Jazz,101,110,0,RS
10,23,2021,Cavaliers,Hawks,101,95,0,RS
10,23,2021,Pacers,Heat,102,91,1,RS
10,23,2021,Raptors,Mavericks,95,103,0,RS
10,23,2021,Bulls,Pistons,97,82,0,RS
10,23,2021,Timberwolves,Pelicans,96,89,0,RS
10,23,2021,Spurs,Bucks,111,121,0,RS
10,23,2021,Trail Blazers,Suns,134,105,0,RS
10,23,2021,Clippers,Grizzlies,114,120,0,RS
10,24,2021,Nets,Hornets,95,111,0,RS
10,24,2021,Rockets,Celtics,97,107,0,RS
10,24,2021,Knicks,Magic,104,110,0,RS
10,24,2021,Thunder,76ers,103,115,0,RS
10,24,2021,Kings,Warriors,107,119,0,RS
10,24,2021,Lakers,Grizzlies,121,118,0,RS
10,25,2021,Hornets,Celtics,129,140,1,RS
10,25,2021,Pacers,Bucks,109,119,0,RS
10,25,2021,Hawks,Pistons,122,104,0,RS
10,25,2021,Nets,Wizards,104,90,0,RS
10,25,2021,Heat,Magic,107,90,0,RS
10,25,2021,Raptors,Bulls,108,111,0,RS
10,25,2021,Timberwolves,Pelicans,98,107,0,RS
10,25,2021,Nuggets,Cavaliers,87,99,0,RS
10,25,2021,Clippers,Trail Blazers,116,86,0,RS
10,26,2021,Knicks,76ers,112,99,0,RS
10,26,2021,Thunder,Warriors,98,106,0,RS
10,26,2021,Spurs,Lakers,121,125,1,RS
10,26,2021,Mavericks,Rockets,116,106,0,RS
10,26,2021,Jazz,Nuggets,122,110,0,RS
10,27,2021,Celtics,Wizards,107,116,0,RS
10,27,2021,Trail Blazers,Grizzlies,116,96,0,RS
10,27,2021,Magic,Hornets,111,120,0,RS
10,27,2021,Nets,Heat,93,106,0,RS
10,27,2021,Raptors,Pacers,118,100,0,RS
10,27,2021,Pelicans,Hawks,99,102,0,RS
10,27,2021,Bucks,Timberwolves,108,113,0,RS
10,27,2021,Thunder,Lakers,123,115,0,RS
10,27,2021,Suns,Kings,107,110,0,RS
10,27,2021,Clippers,Cavaliers,79,92,0,RS
10,28,2021,Warriors,Grizzlies,101,104,1,RS
10,28,2021,76ers,Pistons,110,102,0,RS
10,28,2021,Wizards,Hawks,122,111,0,RS
10,28,2021,Bulls,Knicks,103,104,0,RS
10,28,2021,Rockets,Jazz,91,122,0,RS
10,28,2021,Mavericks,Spurs,104,99,0,RS
10,29,2021,Raptors,Magic,110,109,0,RS
10,29,2021,Nets,Pacers,105,98,0,RS
